section,model,category,api_surface,rpm_limit,tpm_limit,rpd_limit,
Models,Gemini 2.5 Flash,Text-out models,generateContent / text-out,5,250000,20,
Models,Gemini 3.5 Flash,Text-out models,generateContent / text-out,5,250000,20,
Models,Gemini 2.5 Flash TTS,Multi-modal generative models,multi-modal,3,10000,10,
Models,Gemini 2.5 Pro TTS,Multi-modal generative models,multi-modal,0,0,0,
Models,Imagen 4 Generate,Multi-modal generative models,multi-modal,,,25,
Models,Imagen 4 Ultra Generate,Multi-modal generative models,multi-modal,,,25,
Models,Imagen 4 Fast Generate,Multi-modal generative models,multi-modal,,,25,
Models,Gemma 4 26B,Other models,other,15,Unlimited,1500,
Models,Gemma 4 31B,Other models,other,15,Unlimited,1500,
Models,Gemini Embedding 1,Other models,embeddings,100,30000,1000,
Models,Gemini 3.1 Flash Lite,Text-out models,generateContent / text-out,15,250000,500,
Models,Gemini 2.5 Flash Lite,Text-out models,generateContent / text-out,10,250000,20,
Models,Gemini 3 Flash,Text-out models,generateContent / text-out,5,250000,20,
Models,Gemini 3.1 Flash TTS,Multi-modal generative models,multi-modal,3,10000,10,
Models,Gemini Robotics ER 1.5 Preview,Other models,other,10,250000,20,
Models,Gemini Robotics ER 1.6 Preview,Other models,other,5,250000,20,
Models,Gemini Embedding 2,Other models,embeddings,100,30000,1000,
Models,Gemini 2.5 Flash Native Audio Dialog,Live API,live,Unlimited,1000000,Unlimited,
Models,Gemini 3 Flash Live,Live API,live,Unlimited,65000,Unlimited,
Tools,Gemini 2.5 Flash,Map grounding,tool / map grounding,,,500,
Tools,Gemini 2.5 Pro,Map grounding,tool / map grounding,,,0,
Tools,Gemini 3.5 Flash,Map grounding,tool / map grounding,,,0,
Tools,Gemini 3.1 Flash Lite,Map grounding,tool / map grounding,,,500,
Tools,Gemini 3.1 Pro,Map grounding,tool / map grounding,,,0,
Tools,Gemini 2.5 Flash Lite,Map grounding,tool / map grounding,,,500,
Tools,Gemini 3 Flash,Map grounding,tool / map grounding,,,0,
Tools,Gemini 3.1 Flash TTS,Map grounding,tool / map grounding,,,500,
Tools,Gemini Robotics ER 1.6 Preview,Map grounding,tool / map grounding,,,500,
Tools,Computer Use Preview,Map grounding,tool / map grounding,,,500,
Tools,Deep Research Pro Preview,Map grounding,tool / map grounding,,,500,
Tools,Gemini 2,Search grounding,tool / search grounding,,,1500,
Tools,Gemini 2.5,Search grounding,tool / search grounding,,,1500,
Tools,Gemini 3,Search grounding,tool / search grounding,,,0,
Tools,Default,Search grounding,tool / search grounding,,,1500,
